Cnt      PC           IR           RegW  RDin         MemW  MDin
0000     00000000     00000000     0     00000000     0     00000000
0001     00000004     2010ffff     0     00000000     0     00000000
0002     00000004     2010ffff     0     00000000     0     00000000
0003     00000004     2010ffff     1     ffffffff     0     00000000
0004     00000004     2010ffff     0     00000000     0     00000000
0005     00000008     20110000     0     00000000     0     00000000
0006     00000008     20110000     0     00000000     0     00000000
0007     00000008     20110000     1     00000000     0     00000000
0008     00000008     20110000     0     00000000     0     00000000
0009     0000000c     ae300200     0     00000000     0     00000000
000a     0000000c     ae300200     0     00000000     0     00000000
000b     0000000c     ae300200     0     00000000     1     ffffffff
000c     0000000c     ae300200     0     00000000     0     00000000
000d     00000010     22100001     0     00000000     0     00000000
000e     00000010     22100001     0     00000000     0     00000000
000f     00000010     22100001     1     00000000     0     00000000
0010     00000010     22100001     0     00000000     0     00000000
0011     00000014     22310004     0     00000000     0     00000000
0012     00000014     22310004     0     00000000     0     00000000
0013     00000014     22310004     1     00000004     0     00000000
0014     00000014     22310004     0     00000000     0     00000000
0015     00000018     ae300200     0     00000000     0     00000000
0016     00000018     ae300200     0     00000000     0     00000000
0017     00000018     ae300200     0     00000000     1     00000000
0018     00000018     ae300200     0     00000000     0     00000000
0019     0000001c     22100001     0     00000000     0     00000000
001a     0000001c     22100001     0     00000000     0     00000000
001b     0000001c     22100001     1     00000001     0     00000000
001c     0000001c     22100001     0     00000000     0     00000000
001d     00000020     22310004     0     00000000     0     00000000
001e     00000020     22310004     0     00000000     0     00000000
001f     00000020     22310004     1     00000008     0     00000000
0020     00000020     22310004     0     00000000     0     00000000
0021     00000024     ae300200     0     00000000     0     00000000
0022     00000024     ae300200     0     00000000     0     00000000
0023     00000024     ae300200     0     00000000     1     00000001
0024     00000024     ae300200     0     00000000     0     00000000
0025     00000028     22100001     0     00000000     0     00000000
0026     00000028     22100001     0     00000000     0     00000000
0027     00000028     22100001     1     00000002     0     00000000
0028     00000028     22100001     0     00000000     0     00000000
0029     0000002c     22310004     0     00000000     0     00000000
002a     0000002c     22310004     0     00000000     0     00000000
002b     0000002c     22310004     1     0000000c     0     00000000
002c     0000002c     22310004     0     00000000     0     00000000
002d     00000030     ae300200     0     00000000     0     00000000
002e     00000030     ae300200     0     00000000     0     00000000
002f     00000030     ae300200     0     00000000     1     00000002
0030     00000030     ae300200     0     00000000     0     00000000
0031     00000034     22100001     0     00000000     0     00000000
